Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
timecontact3,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_2] = '1',,,,,,
another_3,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_2] = '1',y,,,,,
contact4,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_3] = '1',y,RH,,,,
agecontact4,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_3] = '1',,RH,,,,
maskcontact4,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_3] = '1',,,,,,
touchcontact4,explanationexample,,yesno,Did you touch?,,,,,,,[another_3] = '1',,RH,,,,
contextcontact4,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_3] = '1',,,,,,
locationcontact4,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_3] = '1',,,,,,
timecontact4,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_3] = '1',,,,,,
another_4,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_3] = '1',y,,,,,
contact5,explanationexample,,text,"Contact title or description of person/s
",,,,,,,[another_4] = '1',y,RH,,,,
agecontact5,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_4] = '1',,RH,,,,
maskcontact5,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_4] = '1',,,,,,
touchcontact5,explanationexample,,yesno,Did you touch?,,,,,,,[another_4] = '1',,RH,,,,
contextcontact5,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_4] = '1',,,,,,
timecontact5,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_4] = '1',,,,,,
locationcontact5,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_4] = '1',,,,,,
another_5,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_4] = '1',y,,,,,
contact6,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_5] = '1',y,RH,,,,
agecontact6,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_5] = '1',,RH,,,,
maskcontact6,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_5] = '1',,,,,,
touchcontact6,explanationexample,,yesno,Did you touch?,,,,,,,[another_5] = '1',,RH,,,,
contextcontact6,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_5] = '1',,,,,,
locationcontact6,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_5] = '1',,,,,,
timecontact6,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_5] = '1',,,,,,
another_6,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_5] = '1',y,,,,,
contact7,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_6] = '1',y,RH,,,,
agecontact7,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_6] = '1',,RH,,,,
maskcontact7,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_6] = '1',,,,,,
touchcontact7,explanationexample,,yesno,Did you touch?,,,,,,,[another_6] = '1',,RH,,,,
contextcontact7,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_6] = '1',,,,,,
locationcontact7,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_6] = '1',,,,,,
timecontact7,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_6] = '1',,,,,,
another_7,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_6] = '1',y,,,,,
contact8,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_7] = '1',y,RH,,,,
agecontact8,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_7] = '1',,RH,,,,
maskcontact8,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_7] = '1',,,,,,
touchcontact8,explanationexample,,yesno,Did you touch?,,,,,,,[another_7] = '1',,RH,,,,
contextcontact8,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_7] = '1',,,,,,
locationcontact8,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_7] = '1',,,,,,
timecontact8,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_7] = '1',,,,,,
another_8,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_7] = '1',y,,,,,
contact9,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_8] = '1',y,RH,,,,
agecontact9,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_8] = '1',,RH,,,,
maskcontact9,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_8] = '1',,,,,,
touchcontact9,explanationexample,,yesno,Did you touch?,,,,,,,[another_8] = '1',,RH,,,,
contextcontact9,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_8] = '1',,,,,,
locationcontact9,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_8] = '1',,,,,,
timecontact9,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_8] = '1',,,,,,
another_9,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_8] = '1',y,,,,,
contact10,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_9] = '1',y,RH,,,,
agecontact10,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_9] = '1',,RH,,,,
maskcontact10,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_9] = '1',,,,,,
touchcontact10,explanationexample,,yesno,Did you touch?,,,,,,,[another_9] = '1',,RH,,,,
contextcontact10,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_9] = '1',,,,,,
locationcontact10,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_9] = '1',,,,,,
timecontact10,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_9] = '1',,,,,,
another_10,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_9] = '1',y,,,,,
contact11,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_10] = '1',y,RH,,,,
agecontact11,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_10] = '1',,RH,,,,
maskcontact11,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_10] = '1',,,,,,
touchcontact11,explanationexample,,yesno,Did you touch?,,,,,,,[another_10] = '1',,RH,,,,
contextcontact11,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_10] = '1',,,,,,
locationcontact11,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_10] = '1',,,,,,
timecontact11,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_10] = '1',,,,,,
another_11,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_10] = '1',y,,,,,
contact12,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_11] = '1',y,RH,,,,
agecontact12,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_11] = '1',,RH,,,,
touchcontact12,explanationexample,,yesno,Did you touch?,,,,,,,[another_11] = '1',,RH,,,,
maskcontact12,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_11] = '1',,,,,,
contextcontact12,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_11] = '1',,,,,,
locationcontact12,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_11] = '1',,,,,,
timecontact12,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_11] = '1',,,,,,
another_12,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_11] = '1',y,,,,,
contact13,explanationexample,,text,"Contact title or description of person/s
",,,,,,,[another_12] = '1',y,RH,,,,
agecontact13,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_12] = '1',,RH,,,,
maskcontact13,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_12] = '1',,,,,,
touchcontact13,explanationexample,,yesno,Did you touch?,,,,,,,[another_12] = '1',,RH,,,,
contextcontact13,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_12] = '1',,,,,,
locationcontact13,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_12] = '1',,,,,,
timecontact13,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_12] = '1',,,,,,
another_13,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_12] = '1',y,,,,,
contact14,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_13] = '1',y,RH,,,,
agecontact14,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_13] = '1',,RH,,,,
maskcontact14,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_13] = '1',,,,,,
touchcontact14,explanationexample,,yesno,Did you touch?,,,,,,,[another_13] = '1',,RH,,,,
contextcontact14,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_13] = '1',,,,,,
locationcontact14,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_13] = '1',,,,,,
timecontact14,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_13] = '1',,,,,,
another_14,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_13] = '1',y,,,,,
contact15,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_14] = '1',y,RH,,,,
agecontact15,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_14] = '1',,RH,,,,
maskcontact15,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_14] = '1',,,,,,
touchcontact15,explanationexample,,yesno,Did you touch?,,,,,,,[another_14] = '1',,RH,,,,
contextcontact15,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_14] = '1',,,,,,
locationcontact15,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_14] = '1',,,,,,
timecontact15,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_14] = '1',,,,,,
another_15,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_14] = '1',y,,,,,
contact16,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_15] = '1',y,RH,,,,
agecontact16,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_15] = '1',,RH,,,,
maskcontact16,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_15] = '1',,,,,,
touchcontact16,explanationexample,,yesno,Did you touch?,,,,,,,[another_15] = '1',,RH,,,,
contextcontact16,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_15] = '1',,,,,,
locationcontact16,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_15] = '1',,,,,,
timecontact16,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_15] = '1',,,,,,
another_16,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_15] = '1',y,,,,,
contact17,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_16] = '1',y,RH,,,,
agecontact17,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_16] = '1',,RH,,,,
maskcontact17,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_16] = '1',,,,,,
touchcontact17,explanationexample,,yesno,Did you touch?,,,,,,,[another_16] = '1',,RH,,,,
contextcontact17,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_16] = '1',,,,,,
locationcontact17,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_16] = '1',,,,,,
timecontact17,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_16] = '1',,,,,,
another_17,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_16] = '1',y,,,,,
contact18,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_17] = '1',y,RH,,,,
agecontact18,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_17] = '1',,RH,,,,
maskcontact18,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_17] = '1',,,,,,
touchcontact18,explanationexample,,yesno,Did you touch?,,,,,,,[another_17] = '1',,RH,,,,
contextcontact18,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_17] = '1',,,,,,
locationcontact18,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_17] = '1',,,,,,
timecontact18,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_17] = '1',,,,,,
another_18,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_17] = '1',y,,,,,
contact19,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_18] = '1',y,RH,,,,
agecontact19,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_18] = '1',,RH,,,,
maskcontact19,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_18] = '1',,,,,,
touchcontact19,explanationexample,,yesno,Did you touch?,,,,,,,[another_18] = '1',,RH,,,,
contextcontact19,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_18] = '1',,,,,,
locationcontact19,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_18] = '1',,,,,,
timecontact19,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_18] = '1',,,,,,
another_19,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_18] = '1',y,,,,,
contact20,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_19] = '1',y,RH,,,,
agecontact20,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_19] = '1',,RH,,,,
maskcontact20,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_19] = '1',,,,,,
touchcontact20,explanationexample,,yesno,Did you touch?,,,,,,,[another_19] = '1',,RH,,,,
contextcontact20,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_19] = '1',,,,,,
locationcontact20,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_19] = '1',,,,,,
timecontact20,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_19] = '1',,,,,,
another_20,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_19] = '1',y,,,,,
contact21,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_20] = '1',y,RH,,,,
agecontact21,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_20] = '1',,RH,,,,
maskcontact21,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_20] = '1',,,,,,
touchcontact21,explanationexample,,yesno,Did you touch?,,,,,,,[another_20] = '1',,RH,,,,
contextcontact21,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_20] = '1',,,,,,
locationcontact21,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_20] = '1',,,,,,
timecontact21,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_20] = '1',,,,,,
another_21,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_20] = '1',y,,,,,
contact22,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_21] = '1',y,RH,,,,
agecontact22,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_21] = '1',,RH,,,,
maskcontact22,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_21] = '1',,,,,,
touchcontact22,explanationexample,,yesno,Did you touch?,,,,,,,[another_21] = '1',,RH,,,,
contextcontact22,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_21] = '1',,,,,,
locationcontact22,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_21] = '1',,,,,,
timecontact22,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another_21] = '1',,,,,,
another_22,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another_21] = '1',y,,,,,
campus_loc,additional_questions,,dropdown,On which WSU campus do you primarily work?,"0, Pullman | 1, Spokane | 2, Vancouver | 3, Tri-Cities | 4, Everett | 5, Extension",,,,,,,,,,,,
npullman,additional_questions,,text,Where do you live the majority of the time?,,,,,,,[pullmanyn] = '0',,,,,,
occupation,additional_questions,,text,What is your occupation?,,,,,,,,,,,,,
essentialjobyn,additional_questions,,yesno,Has someone told you or do you consider your occupation an essential service requiring you to work near or around people?,,,,,,,,,,,,,
pullmanyn,additional_questions,,yesno,"Do you live in Pullman, WA the majority of the time?",,,,,,,,,,,,,
typcialyn,additional_questions,,yesno,"For the day of the week that you filled this survey out for, was this a typical day for you?",,,,,,,,,,,,,
ntypical,additional_questions,,text,Why was this day not a typical day for you? Please describe.,,,,,,,[typcialyn] = '0',,,,,,
covid30,additional_questions,,yesno,Have you been tested for COVID within the last 30 days?,,,,,,,,,,,,,
covid30result,additional_questions,,radio,What was the result?,"1, Positive | 2, Negative | 3, Prefer not to say | 4, Don't know yet",,,,,,[covid30] = '1',,,,,,
covidmonth,additional_questions,,yesno,Were you tested for COVID before these past 30 days?,,,,,,,,,,,,,
covidmonthresult,additional_questions,,radio,What was the result?,"1, Positive | 2, Negative | 3, Prefer not to say | 4, Don't know yet",,,,,,[covid30] = '1',,,,,,
positiveever,additional_questions,,dropdown,Have you ever tested positive for COVID?,"0, No | 1, Yes | 2, Prefer not to say",,,,,,,,,,,,
ill30yn,additional_questions,,yesno,"In the past 30 days, have you experienced any illness or known COVID-19 symptoms?",,,,,,,,,,,,,
illsigns,additional_questions,,checkbox,What were the symptoms? Select all that apply.,"0, Fever/Chills | 1, Sore Throat | 2, Shortness of Breath | 3, Congestion/Runny Nose | 4, Cough | 5, Vomiting/Diarrhea | 6, Fatigue | 7, Headache | 8, Loss of Smell/Taste | 9, Muscle/Body Aches",,,,,,[ill30yn] = '1',,,,,,
hcpyn,additional_questions,,yesno,Did you see or call a healthcare provider about these symptoms (not just to get tested)?,,,,,,,[illsigns(0)] = '1' or [illsigns(1)] = '1' or [illsigns(2)] = '1' or [illsigns(3)] = '1' or [illsigns(4)] = '1' or [illsigns(5)] = '1' or [illsigns(6)] = '1' or [illsigns(7)] = '1' or [illsigns(8)] = '1' or [illsigns(9)] = '1',,,,,,
vaccination,additional_questions,,checkbox,Have you been vaccinated against,"0, Influenza | 1, COVID-19",,,,,,,,,,,,
contact1_v2,a_year_ago,"<div class=""rich-text-field-label""><p>ocial Contact Questionnaire - Part II</p> <p>To better understand how social distancing guidelines, working from home, restrictions on indoor dining, reduced social activity, etc. have impacted interaction, we need you to think back to a typical day like today one year ago, and once again fill out the contact diary.</p> <p>We know that it's hard to recall the specifics of social interactions that long ago, so please feel free to fill it out in generalities. You can assume you interacted with your family members or those you live with as you normally do and can designate broad categories of people. For example, if you are an instructor who usually teaches a Fall Semester class with 25 undergraduates, you can fill out your course assuming full attendance. Similarly, if it is Wednesday, and normally on Wednesday you go out to dinner with colleagues after work, you can fill out a typical version of that - having a conversation with the host or hostess, spending an hour with the people who would usually attend, etc.</p></div>",text,Contact title or description of person/s,,,,,,,,y,RH,,,,
contact1_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact1_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",approximately,,,,,,,RH,,,,
touchcontact1_v2,a_year_ago,,yesno,Did you touch?,,,,,,,,,RH,,,,
contextcontact1_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,,,,,,,
locationcontact1_v2,a_year_ago,,text,What is the location of where you interacted?,,,,,,,,,,,,,
timecontact1_v2,a_year_ago,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,,,,,,,
another_v2,a_year_ago,,yesno,Did you have contact with another person/s?,,,,,,,,y,,,,,
contact2_v2,a_year_ago,,text,Contact title or description of person/s,,,,,,,[another_v2] = '1',y,RH,,,,
contact2_v2add,added later,,text,"Total number of contacts for that idea (eg. Contact1_v2 is 'Students', contact 1_v2add is 1)",,,,,,,,,,,,,
agecontact2_v2,a_year_ago,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",approximately,,,,,[another_v2] = '1',,RH,,,,
touchcontact2_v2,a_year_ago,,yesno,Did you touch?,,,,,,,[another_v2] = '1',,RH,,,,
contextcontact2_v2,a_year_ago,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_v2] = '1',,,,,,
